zip,RRP,zip,lat,lon
70339,88.7,70339,29.931838,-91.19813
70542,88.1,70542,30.005408000000003,-92.54417
85360,91.8,85360,34.681394,-113.5935
33547,92.9,33547,27.788497999999997,-82.1508
17501,99.4,17501,40.156471999999994,-76.204
48805,93.0,48805,42.599184,-84.371973
78040,89.1,78040,27.514845,-99.49991
88001,91.1,88001,32.300193,-106.76078000000001
88901,97.8,88901,36.322484,-114.819717
66006,92.7,66006,38.789719,-95.21058000000001
73006,89.7,73006,34.894964,-98.38696999999999
17517,95.4,17517,40.234392,-76.12655
99347,90.7,99347,46.447540000000004,-117.57295
04210,94.3,04210,44.089172999999995,-70.24143000000001
40311,91.3,40311,38.320944,-84.02358000000001
45801,87.1,45801,40.759451,-84.08458
68003,92.5,68003,41.068476000000004,-96.38189
71601,90.5,71601,34.215648,-91.98841
84304,91.1,84304,41.832776,-111.99738
75451,90.9,75451,32.971224,-95.11339
98581,94.3,98581,46.373346999999995,-123.05308000000001
47104,91.0,47104,38.539899,-85.42175300000001
79235,93.2,79235,33.941748,-101.30072
22922,89.8,22922,37.69474,-78.93251
31004,86.2,31004,32.946971000000005,-83.800628
93601,94.7,93601,37.388698,-119.72438999999999
53901,97.7,53901,43.549851000000004,-89.47100999999999
03031,108.5,03031,42.854886,-71.6082
66401,92.3,66401,38.990708000000005,-96.29473
55332,90.2,55332,44.529702,-94.71718
44805,86.3,44805,40.867016,-82.31514
78501,84.5,78501,26.213105,-98.23579000000001
96044,97.6,96044,41.925752,-122.52253
38101,91.0,38101,35.050667,-89.847782
95301,94.1,95301,37.35115,-120.6056
33101,107.6,33101,25.779076,-80.19782
46532,85.7,46532,41.411513,-86.61126999999999
48612,91.8,48612,43.87787,-84.42078000000001
79701,100.8,79701,31.995623,-102.08108
53002,95.6,53002,43.461969,-88.36431999999999
54002,102.3,54002,44.96915,-92.37326
59801,95.8,59801,46.855422999999995,-114.01229
36505,87.4,36505,30.930065000000003,-88.00103
95230,97.8,95230,37.959439,-120.82328999999999
71201,84.7,71201,32.519393,-92.10755
49228,94.0,49228,41.821595,-83.87435
36003,89.1,36003,32.439966999999996,-86.68800999999999
26287,91.5,26287,39.141165,-79.67466
37708,79.5,37708,36.320262,-83.32206
98221,97.9,98221,48.495234,-122.61976000000001
46001,86.9,46001,40.257082000000004,-85.67299999999999
49303,87.5,49303,43.271421999999994,-85.84023
28439,91.1,28439,34.309767,-79.02516
95476,121.9,95476,38.277147,-122.47058
34101,100.9,34101,25.855534,-81.38719
38401,94.4,38401,35.619784,-87.03565
28501,85.4,28501,35.260895,-77.56469
06401,111.4,06401,41.342690000000005,-73.07446
70001,95.2,70001,29.984096,-90.16901999999999
12531,122.0,12531,41.519085,-73.67241
49022,89.0,49022,42.108090000000004,-86.41801
06231,101.0,06231,41.629818,-72.36419000000001
34420,90.2,34420,29.054976,-82.04255
08202,106.1,08202,39.092928,-74.72688000000001
79707,96.8,79707,32.021056,-102.16008000000001
84010,95.1,84010,40.876312,-111.87248999999998
74824,91.6,74824,35.883914000000004,-96.86735
98501,106.9,98501,47.014718,-122.8819
68002,93.4,68002,41.47502,-96.34446
33848,98.0,33848,28.260740000000002,-81.50669
54901,91.1,54901,44.043984,-88.53528
42301,87.0,42301,37.753347,-87.17419
90265,117.2,90265,34.051056,-118.80768
32815,95.6,32815,28.306726,-80.686159
32401,93.7,32401,30.161901,-85.65297
43787,86.9,43787,39.536415000000005,-81.80009
32501,92.3,32501,30.420996999999996,-87.22305
61321,90.8,61321,40.963663000000004,-88.97932
17527,105.9,17527,40.008814,-75.99195
85201,97.1,85201,33.432177,-111.84701000000001
71601,82.9,71601,34.215648,-91.98841
15201,94.3,15201,40.471468,-79.95725999999999
01008,96.2,01008,42.174313,-72.94828000000001
83201,88.9,83201,42.883214,-112.43968000000001
03901,101.7,03901,43.29016,-70.84559
97002,101.7,97002,45.234609000000006,-122.79749
33438,96.7,33438,26.900359,-80.60368000000001
85324,95.6,85324,34.10865,-112.10088
02048,99.7,02048,42.019982,-71.2191
84003,96.8,84003,40.394234999999995,-111.79449
81001,91.5,81001,38.282872,-104.57029
33917,94.7,33917,26.711646999999996,-81.865
53105,93.2,53105,42.662671,-88.28132
27703,95.9,27703,35.966431,-78.83969
57626,90.8,57626,44.947869,-102.02660999999999
17555,96.2,17555,40.126611,-75.96767
96001,97.4,96001,40.56816,-122.41519
89402,98.7,89402,39.239457,-119.97113300000001
22942,96.1,22942,38.125214,-78.197
93516,107.4,93516,35.030694,-117.67263999999999
24001,90.3,24001,37.274175,-79.95786
55027,93.9,55027,44.408846000000004,-92.63311999999999
13143,98.0,13143,43.235909,-76.71545
60033,89.9,60033,42.424338,-88.61431
27801,83.9,27801,35.935125,-77.77076
30103,81.1,30103,34.368646999999996,-84.92452
95602,102.0,95602,38.976836999999996,-121.09142
48601,88.8,48601,43.413975,-83.91427
55320,91.8,55320,45.387625,-94.0599
84720,94.6,84720,37.75164,-113.16557
64401,86.5,64401,39.627396999999995,-94.72215
65041,90.8,65041,38.659797999999995,-91.47293
97002,95.9,97002,45.234609000000006,-122.79749
93426,108.1,93426,35.834919,-120.98093
21801,89.3,21801,38.369675,-75.61214
82930,99.4,82930,41.267546,-110.90607
76861,93.9,76861,31.58901,-100.1911
78002,94.4,78002,29.288108,-98.72878
91901,116.3,91901,32.823102,-116.73863999999999
95377,124.7,95377,37.72374,-121.447131
93210,127.1,93210,36.194736,-120.30865
93252,107.1,93252,35.040362,-119.41514
95001,124.8,95001,37.05297,-121.949418
87010,99.8,87010,35.409521999999996,-106.15202
95401,121.0,95401,38.440111,-122.74563
30446,93.6,30446,32.567281,-81.48626999999999
17814,92.3,17814,41.241254999999995,-76.37738
98401,110.5,98401,47.253671000000004,-122.44433500000001
34951,91.6,34951,27.53831,-80.40526
33825,82.6,33825,27.60047,-81.50932
53001,90.4,53001,43.61014,-88.03047
75020,92.1,75020,33.754053000000006,-96.57866999999999
71004,89.9,71004,32.765739,-93.88028
85602,89.6,85602,32.010164,-110.3182
57001,88.9,57001,42.974216,-96.63848
56144,92.4,56144,43.854184000000004,-96.39022
46506,88.7,46506,41.450744,-86.1692
29301,87.7,29301,34.940921,-81.98682
99001,95.2,99001,47.642922,-117.59149
62601,91.0,62601,39.754308,-90.02786
01001,97.4,01001,42.070609999999995,-72.62029
65463,87.8,65463,37.84762,-92.7831
45314,87.9,45314,39.744577,-83.79697
16666,102.8,16666,40.852579999999996,-78.28335
22812,84.8,22812,38.398049,-79.00071
95632,99.6,95632,38.267544,-121.29723
29001,86.0,29001,33.76993,-80.17278
13020,96.7,13020,42.823968,-76.062425
32301,93.0,32301,30.431283,-84.26903
33503,99.8,33503,27.764761,-82.273409
47427,87.2,47427,39.232338,-87.03271
75501,87.6,75501,33.414708000000005,-94.08984
33513,93.1,33513,28.663132,-82.14041999999999
43502,88.7,43502,41.529231,-84.30866
66002,89.1,66002,39.553785999999995,-95.13472
08501,111.3,08501,40.164556,-74.57785
85321,95.8,85321,32.331853,-112.78693999999999
74859,90.7,74859,35.441159999999996,-96.30798
35006,88.4,35006,33.451714,-87.23957
83301,"(NA)",83301,42.530288,-114.47509
75103,93.7,75103,32.532449,-95.88
13032,93.7,13032,43.086439,-75.76484
31601,80.9,31601,30.807278999999998,-83.28661
95612,117.6,95612,38.383365999999995,-121.57818999999999
77465,94.2,77465,28.735638,-96.22273
08270,100.0,08270,39.275059000000006,-74.80041
23001,97.9,23001,37.293165,-76.41056999999999
93201,94.4,93201,35.889586,-119.49351999999999
76524,91.6,76524,31.279614000000002,-97.22336
99323,94.6,99323,46.191158,-118.87987
31005,88.5,31005,32.556668,-83.62435
22712,119.1,22712,38.5593,-77.75728000000001
50148,90.9,50148,42.187863,-93.00381
13083,98.6,13083,43.647881,-76.0167
54401,91.1,54401,44.958382,-89.6693
43901,84.5,43901,40.223285,-80.87017
98801,95.2,98801,47.425497,-120.32881
43713,85.9,43713,39.989191,-81.17197
67201,90.2,67201,37.651973999999996,-97.258997
76228,89.8,76228,33.586753,-98.07694000000001
17701,92.7,17701,41.256736,-77.0108
28401,93.4,28401,34.235219,-77.94134
25431,92.0,25431,39.50219,-78.55592
28621,89.0,28621,36.283497,-80.84586
01601,103.6,01601,42.265275,-71.87941500000001
98901,93.6,98901,46.616199,-120.46481000000001
17301,96.5,17301,39.891548,-76.98359
44062,87.5,44062,41.462346000000004,-81.03666
95626,97.1,95626,38.727451,-121.45433
85333,91.4,85333,32.921712,-113.45703
