,zip,city,state,latitude,longitude,population,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-inf
27112,59111,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27113,59112,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27114,59114,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27115,59115,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27116,59116,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27117,59117,Billings,MT,45.978288,-108.19450800000001,0.0,0.0,0.0,0.0,,,,
27118,59201,Wolf Point,MT,48.126065999999994,-105.65893,5581.0,259.0,312.0,335.0,278.0,218.0,131.0,260.0
27119,59211,Antelope,MT,48.695994,-104.35503,166.0,2.0,10.0,17.0,18.0,11.0,3.0,7.0
27120,59212,Bainville,MT,48.1154,-104.19036,615.0,10.0,45.0,31.0,61.0,26.0,15.0,15.0
27121,59213,Brockton,MT,48.132346999999996,-104.88113999999999,657.0,18.0,40.0,32.0,27.0,35.0,16.0,29.0
27122,59214,Brockway,MT,47.274623999999996,-105.84727,100.0,7.0,12.0,8.0,17.0,15.0,0.0,11.0
27123,59215,Circle,MT,47.520661,-105.8743,941.0,23.0,88.0,80.0,72.0,57.0,72.0,153.0
27124,59217,Crane,MT,47.577478,-104.25806,348.0,16.0,3.0,4.0,46.0,0.0,12.0,0.0
27125,59218,Culbertson,MT,48.132160999999996,-104.51429,911.0,42.0,63.0,86.0,60.0,29.0,46.0,79.0
27126,59219,Dagmar,MT,48.519946000000004,-104.25492,272.0,7.0,16.0,33.0,30.0,20.0,2.0,23.0
27127,59221,Fairview,MT,47.900376,-104.13403000000001,1718.0,77.0,145.0,111.0,121.0,87.0,71.0,101.0
27128,59222,Flaxville,MT,48.739987,-105.15836000000002,104.0,15.0,17.0,5.0,4.0,1.0,3.0,20.0
27129,59223,Fort Peck,MT,48.006744,-106.46104,334.0,13.0,23.0,46.0,31.0,78.0,19.0,40.0
27130,59225,Frazer,MT,48.202721999999994,-105.96718999999999,547.0,26.0,38.0,33.0,19.0,18.0,9.0,20.0
27131,59226,Froid,MT,48.317939,-104.44433000000001,422.0,21.0,34.0,52.0,54.0,31.0,8.0,29.0
27132,59230,Glasgow,MT,48.15381,-106.69558,4580.0,270.0,330.0,365.0,301.0,161.0,213.0,528.0
27133,59231,Saint Marie,MT,48.404666999999996,-106.53357,538.0,0.0,37.0,58.0,33.0,31.0,39.0,46.0
27134,59240,Glentana,MT,48.330241,-106.60966499999999,29.0,0.0,0.0,12.0,3.0,0.0,1.0,4.0
27135,59241,Hinsdale,MT,48.39962,-107.09765,462.0,35.0,28.0,37.0,92.0,19.0,12.0,41.0
27136,59242,Homestead,MT,48.40892,-104.70869,72.0,6.0,2.0,3.0,11.0,14.0,6.0,0.0
27137,59243,Lambert,MT,47.71754,-104.63734000000001,269.0,33.0,24.0,28.0,9.0,17.0,7.0,37.0
27138,59244,Larslan,MT,48.59953400000001,-106.33328,17.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0
27139,59245,McCabe,MT,48.280119,-104.94413,0.0,0.0,0.0,0.0,,,,
27140,59247,Medicine Lake,MT,48.503927000000004,-104.48487,330.0,10.0,18.0,33.0,30.0,25.0,12.0,29.0
27141,59248,Nashua,MT,48.133359999999996,-106.33547,610.0,31.0,29.0,62.0,48.0,72.0,59.0,63.0
27142,59250,Opheim,MT,48.860359,-106.47675,145.0,7.0,14.0,15.0,3.0,6.0,14.0,33.0
27143,59252,Outlook,MT,48.893223,-104.7741,89.0,4.0,6.0,0.0,12.0,0.0,10.0,10.0
27144,59253,Peerless,MT,48.730965999999995,-105.85564,87.0,4.0,2.0,0.0,0.0,23.0,1.0,18.0
27145,59254,Plentywood,MT,48.77466,-104.56769,2135.0,89.0,156.0,185.0,157.0,175.0,95.0,215.0
27146,59255,Poplar,MT,48.136010999999996,-105.16175,3655.0,205.0,210.0,231.0,209.0,116.0,76.0,118.0
27147,59256,Raymond,MT,48.694565000000004,-104.552352,48.0,0.0,35.0,0.0,7.0,0.0,0.0,0.0
27148,59257,Redstone,MT,48.750625,-104.96701999999999,65.0,0.0,16.0,38.0,0.0,4.0,0.0,0.0
27149,59258,Reserve,MT,48.591968,-104.61326,91.0,3.0,3.0,14.0,9.0,9.0,6.0,25.0
27150,59259,Richey,MT,47.777938,-105.04227,383.0,45.0,16.0,16.0,34.0,17.0,12.0,54.0
27151,59260,Richland,MT,48.717859000000004,-106.07898999999999,154.0,0.0,2.0,8.0,15.0,10.0,12.0,5.0
27152,59261,Saco,MT,48.544159,-107.40301000000001,532.0,33.0,57.0,66.0,41.0,41.0,27.0,64.0
27153,59262,Savage,MT,47.463172,-104.36846,765.0,35.0,49.0,40.0,74.0,47.0,34.0,41.0
27154,59263,Scobey,MT,48.809655,-105.45828999999999,1550.0,80.0,87.0,162.0,90.0,71.0,51.0,235.0
27155,59270,Sidney,MT,47.683129,-104.20546999999999,8750.0,536.0,614.0,633.0,575.0,469.0,220.0,426.0
27156,59273,Vandalia,MT,48.330241,-106.60966499999999,0.0,0.0,0.0,0.0,,,,
27157,59274,Vida,MT,47.859083,-105.35001000000001,287.0,15.0,27.0,16.0,18.0,21.0,3.0,34.0
27158,59275,Westby,MT,48.887446999999995,-104.20951,341.0,20.0,11.0,31.0,27.0,11.0,43.0,45.0
27159,59276,Whitetail,MT,48.897816,-105.16316,34.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0
27160,59301,Miles City,MT,46.343483,-105.81164,11560.0,639.0,823.0,966.0,807.0,655.0,490.0,1020.0
27161,59311,Alzada,MT,45.189904999999996,-104.38569,152.0,5.0,5.0,17.0,21.0,12.0,18.0,33.0
27162,59312,Angela,MT,46.017965000000004,-106.99198999999999,42.0,3.0,5.0,0.0,5.0,2.0,0.0,0.0
27163,59313,Baker,MT,46.357253,-104.25299,2413.0,111.0,128.0,163.0,164.0,112.0,103.0,199.0
27164,59314,Biddle,MT,45.078881,-105.37586,90.0,6.0,10.0,4.0,12.0,9.0,9.0,8.0
27165,59315,Bloomfield,MT,47.441629,-104.86652,96.0,5.0,5.0,17.0,23.0,6.0,15.0,5.0
27166,59316,Boyes,MT,45.567085,-104.539066,0.0,0.0,0.0,0.0,,,,
27167,59317,Broadus,MT,45.385222999999996,-105.34448,1122.0,60.0,82.0,105.0,107.0,78.0,54.0,145.0
27168,59318,Brusett,MT,47.426998,-107.44215,161.0,2.0,11.0,4.0,0.0,1.0,4.0,7.0
27169,59319,Capitol,MT,45.567085,-104.539066,0.0,0.0,0.0,0.0,,,,
27170,59322,Cohagen,MT,47.049949,-106.58157,69.0,2.0,0.0,9.0,2.0,9.0,0.0,0.0
27171,59323,Colstrip,MT,45.915952000000004,-106.65505,2336.0,226.0,239.0,296.0,221.0,90.0,41.0,9.0
27172,59324,Ekalaka,MT,45.797477,-104.47482,968.0,48.0,82.0,99.0,80.0,40.0,76.0,131.0
27173,59326,Fallon,MT,46.810255,-105.04391000000001,218.0,6.0,12.0,36.0,10.0,30.0,12.0,10.0
27174,59327,Forsyth,MT,46.077231,-106.68186000000001,2859.0,93.0,165.0,182.0,165.0,162.0,279.0,307.0
27175,59330,Glendive,MT,47.107345,-104.72683,8654.0,441.0,571.0,750.0,632.0,417.0,369.0,695.0
27176,59332,Hammond,MT,45.386373999999996,-104.75676999999999,187.0,14.0,12.0,9.0,10.0,10.0,10.0,16.0
27177,59333,Hathaway,MT,46.271871999999995,-106.21373999999999,14.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0
27178,59336,Ismay,MT,46.429204999999996,-104.94036000000001,232.0,23.0,12.0,10.0,7.0,5.0,4.0,23.0
27179,59337,Jordan,MT,47.349999,-106.95206999999999,664.0,65.0,29.0,56.0,69.0,74.0,41.0,69.0
27180,59338,Kinsey,MT,46.579645,-105.62183,119.0,12.0,17.0,14.0,0.0,2.0,7.0,9.0
27181,59339,Lindsay,MT,47.253136,-105.19476,162.0,8.0,9.0,16.0,13.0,5.0,4.0,21.0
27182,59341,Mildred,MT,46.860997,-105.34518200000001,0.0,0.0,0.0,0.0,,,,
27183,59343,Olive,MT,45.666174,-105.47958999999999,157.0,14.0,8.0,19.0,7.0,9.0,12.0,4.0
27184,59344,Plevna,MT,46.43208,-104.61063,397.0,14.0,34.0,27.0,82.0,18.0,10.0,19.0
27185,59345,Powderville,MT,45.391078,-105.63046100000001,0.0,0.0,0.0,0.0,,,,
27186,59347,Rosebud,MT,46.632549,-106.39641,212.0,21.0,23.0,44.0,27.0,0.0,30.0,38.0
27187,59348,Sonnette,MT,45.365697999999995,-105.95631999999999,0.0,0.0,0.0,0.0,,,,
27188,59349,Terry,MT,46.897901,-105.46338999999999,1119.0,45.0,60.0,99.0,104.0,93.0,79.0,123.0
27189,59351,Volborg,MT,45.94240900000001,-105.71211000000001,162.0,7.0,23.0,31.0,3.0,6.0,7.0,6.0
27190,59353,Wibaux,MT,46.969132,-104.19232,1121.0,108.0,105.0,60.0,92.0,91.0,57.0,140.0
27191,59354,Willard,MT,46.127895,-104.45228,31.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0
27192,59400,Shelby,MT,48.643651,-111.745326,0.0,0.0,0.0,0.0,,,,
27193,59401,Great Falls,MT,47.509157,-111.27408,14242.0,847.0,1085.0,1000.0,852.0,536.0,281.0,1034.0
27194,59402,Malmstrom A F B,MT,47.510209,-111.19590600000001,0.0,0.0,0.0,0.0,,,,
27195,59403,Great Falls,MT,47.258392,-111.341975,0.0,0.0,0.0,0.0,,,,
27196,59404,Great Falls,MT,47.514307,-111.34499,27258.0,1762.0,2026.0,2020.0,1893.0,1447.0,1291.0,2115.0
27197,59405,Great Falls,MT,47.476152,-111.26908999999999,31381.0,1313.0,1818.0,2002.0,1564.0,1800.0,1220.0,2434.0
27198,59406,Great Falls,MT,47.619997999999995,-111.239305,0.0,0.0,0.0,0.0,,,,
27199,59410,Augusta,MT,47.503261,-112.48018,647.0,43.0,65.0,68.0,53.0,49.0,48.0,36.0
27200,59411,Babb,MT,48.871429,-113.43733999999999,740.0,11.0,109.0,52.0,0.0,31.0,13.0,45.0
27201,59412,Belt,MT,47.351391,-110.86563999999998,1447.0,57.0,65.0,149.0,115.0,82.0,79.0,149.0
27202,59414,Black Eagle,MT,47.526385,-111.27845,1054.0,56.0,25.0,124.0,57.0,104.0,39.0,79.0
27203,59416,Brady,MT,48.037351,-111.66825,400.0,24.0,12.0,55.0,54.0,35.0,18.0,36.0
27204,59417,Browning,MT,48.556986,-113.0698,7712.0,448.0,560.0,401.0,430.0,261.0,200.0,249.0
27205,59418,Buffalo,MT,47.248497,-109.26308,199.0,13.0,7.0,9.0,12.0,22.0,7.0,5.0
27206,59419,Bynum,MT,48.007556,-112.32535,118.0,2.0,34.0,13.0,2.0,1.0,16.0,22.0
27207,59420,Carter,MT,47.834943,-110.98801,227.0,29.0,13.0,25.0,12.0,2.0,2.0,13.0
27208,59421,Cascade,MT,47.223693,-111.70821000000001,1751.0,70.0,128.0,179.0,218.0,162.0,114.0,209.0
27209,59422,Choteau,MT,47.840047,-112.35083,2376.0,143.0,156.0,179.0,193.0,164.0,121.0,321.0
27210,59424,Coffee Creek,MT,47.383325,-110.02055,66.0,0.0,13.0,7.0,11.0,11.0,6.0,9.0
27211,59425,Conrad,MT,48.190331,-111.96871999999999,3698.0,160.0,293.0,215.0,308.0,239.0,148.0,363.0
27212,59427,Cut Bank,MT,48.680309,-112.47008999999998,4612.0,112.0,208.0,375.0,257.0,155.0,180.0,306.0
27213,59430,Denton,MT,47.316303999999995,-109.96291000000001,392.0,43.0,61.0,28.0,26.0,31.0,19.0,43.0
27214,59432,Dupuyer,MT,48.177132,-112.61804,115.0,2.0,19.0,5.0,4.0,17.0,10.0,40.0
27215,59433,Dutton,MT,47.895071,-111.77961,531.0,32.0,32.0,53.0,65.0,55.0,32.0,49.0
27216,59434,East Glacier Park,MT,48.424793,-113.20423999999998,613.0,32.0,29.0,56.0,60.0,24.0,40.0,37.0
27217,59435,Ethridge,MT,48.609072,-111.731852,0.0,0.0,0.0,0.0,,,,
27218,59436,Fairfield,MT,47.624913,-112.03006,2105.0,122.0,145.0,142.0,114.0,123.0,104.0,164.0
27219,59440,Floweree,MT,47.696452,-111.15265,139.0,3.0,13.0,7.0,4.0,5.0,5.0,18.0
27220,59441,Forestgrove,MT,46.90640300000001,-109.09551,65.0,3.0,8.0,6.0,6.0,2.0,8.0,11.0
27221,59442,Fort Benton,MT,47.83055,-110.64868999999999,1746.0,86.0,105.0,126.0,207.0,135.0,98.0,217.0
27222,59443,Fort Shaw,MT,47.547517,-111.82545,537.0,62.0,25.0,42.0,38.0,58.0,18.0,49.0
27223,59444,Galata,MT,48.635319,-111.24083,308.0,12.0,25.0,31.0,18.0,10.0,15.0,22.0
27224,59445,Garneill,MT,47.055715,-109.468299,0.0,0.0,0.0,0.0,,,,
27225,59446,Geraldine,MT,47.661952,-110.1846,593.0,30.0,39.0,53.0,59.0,57.0,6.0,43.0
27226,59447,Geyser,MT,47.268612,-110.44228999999999,232.0,14.0,25.0,34.0,19.0,25.0,20.0,14.0
27227,59448,Heart Butte,MT,48.309340999999996,-112.81115,753.0,45.0,60.0,57.0,38.0,32.0,13.0,14.0
27228,59450,Highwood,MT,47.530558,-110.57208,496.0,19.0,43.0,44.0,47.0,25.0,20.0,69.0
27229,59451,Hilger,MT,47.468715,-109.35623999999999,222.0,8.0,52.0,6.0,14.0,8.0,0.0,11.0
