zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
04538,99999,1.000000000,1.000000000,1.000000000,1.000000000
04627,99999,1.000000000,1.000000000,1.000000000,1.000000000
04756,99999,1.000000000,1.000000000,1.000000000,1.000000000
04668,99999,1.000000000,1.000000000,1.000000000,1.000000000
04785,99999,1.000000000,1.000000000,1.000000000,1.000000000
04841,99999,1.000000000,1.000000000,1.000000000,1.000000000
04760,99999,1.000000000,1.000000000,1.000000000,1.000000000
04441,99999,1.000000000,1.000000000,1.000000000,1.000000000
04456,12620,1.000000000,1.000000000,1.000000000,1.000000000
04450,12620,1.000000000,1.000000000,1.000000000,1.000000000
04419,12620,1.000000000,1.000000000,1.000000000,1.000000000
04414,99999,1.000000000,1.000000000,1.000000000,1.000000000
04862,99999,1.000000000,1.000000000,1.000000000,1.000000000
04860,99999,1.000000000,1.000000000,1.000000000,1.000000000
04930,99999,0.113481229,0.013605442,0.065789474,0.105183504
05156,17200,0.974771553,0.959381044,0.873015873,0.967950904
05089,17200,0.988686131,1.000000000,0.956043956,0.988583138
05252,13540,1.000000000,1.000000000,1.000000000,1.000000000
05253,13540,0.933333333,0.952380952,1.000000000,0.935943060
05403,15540,1.000000000,1.000000000,1.000000000,1.000000000
05363,99999,0.938938939,0.902777778,1.000000000,0.937442502
05408,15540,1.000000000,1.000000000,1.000000000,1.000000000
05341,99999,1.000000000,1.000000000,1.000000000,1.000000000
05345,99999,1.000000000,1.000000000,1.000000000,1.000000000
05045,17200,0.987012987,0.945945946,0.941176471,0.984223301
04976,99999,1.000000000,1.000000000,1.000000000,1.000000000
05046,99999,0.995683453,1.000000000,1.000000000,0.995839112
05001,17200,0.984361792,0.986550633,0.930835735,0.981869778
05055,17200,0.993238675,1.000000000,0.914285714,0.991746032
04963,12300,1.000000000,1.000000000,1.000000000,1.000000000
05043,17200,0.984375000,1.000000000,0.888888889,0.982954545
04961,99999,1.000000000,1.000000000,1.000000000,1.000000000
05068,17200,0.991760300,0.918918919,0.931818182,0.987994350
05452,15540,1.000000000,1.000000000,1.000000000,1.000000000
05448,15540,1.000000000,1.000000000,1.000000000,1.000000000
05476,99999,0.006139154,0.000000000,0.000000000,0.005535055
05483,15540,1.000000000,1.000000000,1.000000000,1.000000000
05455,15540,1.000000000,1.000000000,1.000000000,1.000000000
05751,40860,1.000000000,1.000000000,1.000000000,1.000000000
05735,40860,1.000000000,1.000000000,1.000000000,1.000000000
05680,99999,0.981298130,1.000000000,1.000000000,0.981621622
05674,12740,1.000000000,1.000000000,1.000000000,1.000000000
05855,99999,1.000000000,1.000000000,1.000000000,1.000000000
05774,40860,1.000000000,1.000000000,1.000000000,1.000000000
05867,99999,1.000000000,1.000000000,0.000000000,1.000000000
05847,99999,1.000000000,1.000000000,1.000000000,1.000000000
