"","zip","city","state","latitude","longitude"
"4026","10196","New York","NY",40.780751,-73.977182
"4027","10197","New York","NY",40.780751,-73.977182
"4028","10199","New York","NY",40.750308,-74.00058
"4029","10200","New York","NY",40.77,73.95
"4030","10203","New York","NY",40.780751,-73.977182
"4031","10211","New York","NY",40.780751,-73.977182
"4032","10212","New York","NY",40.780751,-73.977182
"4033","10213","New York","NY",40.780751,-73.977182
"4034","10242","New York","NY",40.780751,-73.977182
"4035","10249","New York","NY",40.780751,-73.977182
"4036","10250","New York","NY",40.709387,-74.016529
"4037","10256","New York","NY",40.780751,-73.977182
"4038","10257","New York","NY",40.780751,-73.977182
"4039","10258","New York","NY",40.780751,-73.977182
"4040","10259","New York","NY",40.780751,-73.977182
"4041","10260","New York","NY",40.780751,-73.977182
"4042","10261","New York","NY",40.780751,-73.977182
"4043","10265","New York","NY",40.780751,-73.977182
"4044","10268","New York","NY",40.780751,-73.977182
"4045","10269","New York","NY",40.780751,-73.977182
"4046","10270","New York","NY",40.706925,-74.008154
"4047","10271","New York","NY",40.708669,-74.01043
"4048","10272","New York","NY",40.780751,-73.977182
"4049","10273","New York","NY",40.780751,-73.977182
"4050","10274","New York","NY",40.780751,-73.977182
"4051","10275","New York","NY",40.780751,-73.977182
"4052","10276","New York","NY",40.780751,-73.977182
"4053","10277","New York","NY",40.780751,-73.977182
"4054","10278","New York","NY",40.715721,-74.00395
"4055","10279","New York","NY",40.713062,-74.00857
"4056","10280","New York","NY",40.707467,-74.0178
"4057","10281","New York","NY",40.714643,-74.014958
"4058","10282","New York","NY",40.717179,-74.01433
"4059","10285","New York","NY",40.71533,-74.016306
"4060","10286","New York","NY",40.714231,-74.011895
"4061","10292","New York","NY",40.780751,-73.977182
"4062","10301","Staten Island","NY",40.631775,-74.09432
"4063","10302","Staten Island","NY",40.631127,-74.13715
"4064","10303","Staten Island","NY",40.629448,-74.16239
"4065","10304","Staten Island","NY",40.60787,-74.08991
"4066","10305","Staten Island","NY",40.599021,-74.07503
"4067","10306","Staten Island","NY",40.569394,-74.11785
"4068","10307","Staten Island","NY",40.508274,-74.24387
"4069","10308","Staten Island","NY",40.551353,-74.15098
"4070","10309","Staten Island","NY",40.529749,-74.21304
"4071","10310","Staten Island","NY",40.63212,-74.11551
"4072","10311","Staten Island","NY",40.605245,-74.179485
"4073","10312","Staten Island","NY",40.543117,-74.17628
"4074","10313","Staten Island","NY",40.564393,-74.146836
"4075","10314","Staten Island","NY",40.606337,-74.14513
"4076","10422","New York","NY",40.828279,-73.869454
"4077","10451","Bronx","NY",40.819729,-73.9223
"4078","10452","Bronx","NY",40.838745,-73.92234
"4079","10453","Bronx","NY",40.853017,-73.91214
"4080","10454","Bronx","NY",40.805968,-73.91628
"4081","10455","Bronx","NY",40.815559,-73.90771
"4082","10456","Bronx","NY",40.829676,-73.90856
"4083","10457","Bronx","NY",40.846745,-73.89861
"4084","10458","Bronx","NY",40.864166,-73.88881
"4085","10459","Bronx","NY",40.825432,-73.89327
"4086","10460","Bronx","NY",40.84095,-73.88036
"4087","10461","Bronx","NY",40.842917,-73.83819
"4088","10462","Bronx","NY",40.842173,-73.85862
"4089","10463","Bronx","NY",40.881086,-73.90749
"4090","10464","Bronx","NY",40.857017,-73.78903
"4091","10465","Bronx","NY",40.825727,-73.81752
"4092","10466","Bronx","NY",40.89095,-73.84702
"4093","10467","Bronx","NY",40.872265,-73.86937
"4094","10468","Bronx","NY",40.867107,-73.89916
"4095","10469","Bronx","NY",40.868643,-73.84735
"4096","10470","Bronx","NY",40.900629,-73.86072
"4097","10471","Bronx","NY",40.900819,-73.90347
"4098","10472","Bronx","NY",40.830409,-73.86845
"4099","10473","Bronx","NY",40.818514,-73.85893
"4100","10474","Bronx","NY",40.81321,-73.88755
"4101","10475","Bronx","NY",40.878522,-73.82541
"4102","10499","Bronx","NY",40.851549,-73.840908
"4103","10501","Amawalk","NY",41.289939,-73.76493
"4104","10502","Ardsley","NY",41.011324,-73.84152
"4105","10503","Ardsley On Hudson","NY",41.024855,-73.87513
"4106","10504","Armonk","NY",41.129908,-73.70352
"4107","10505","Baldwin Place","NY",41.33431,-73.749244
"4108","10506","Bedford","NY",41.195778,-73.62777
"4109","10507","Bedford Hills","NY",41.236931,-73.69018
"4110","10509","Brewster","NY",41.41362,-73.59556
"4111","10510","Briarcliff Manor","NY",41.146297,-73.83311
"4112","10511","Buchanan","NY",41.260283,-73.94033
"4113","10512","Carmel","NY",41.444833,-73.6845
"4114","10514","Chappaqua","NY",41.167455,-73.77597
"4115","10516","Cold Spring","NY",41.440695,-73.9314
"4116","10517","Crompond","NY",41.300561,-73.861217
"4117","10518","Cross River","NY",41.269072,-73.60493
"4118","10519","Croton Falls","NY",41.34598,-73.66199
"4119","10520","Croton On Hudson","NY",41.215541,-73.88543
"4120","10521","Croton On Hudson","NY",41.234256,-73.926165
"4121","10522","Dobbs Ferry","NY",41.012729,-73.86602
"4122","10523","Elmsford","NY",41.057089,-73.81658
"4123","10524","Garrison","NY",41.363063,-73.92154
"4124","10526","Goldens Bridge","NY",41.294561,-73.66701
"4125","10527","Granite Springs","NY",41.319026,-73.7576
"4126","10528","Harrison","NY",40.972667,-73.71886
"4127","10530","Hartsdale","NY",41.025114,-73.80635
"4128","10532","Hawthorne","NY",41.103664,-73.7958
"4129","10533","Irvington","NY",41.039005,-73.8635
"4130","10535","Jefferson Valley","NY",41.331173,-73.80208
"4131","10536","Katonah","NY",41.265478,-73.68512
"4132","10537","Lake Peekskill","NY",41.337335,-73.88689
"4133","10538","Larchmont","NY",40.933089,-73.75615
"4134","10540","Lincolndale","NY",41.333398,-73.724257
"4135","10541","Mahopac","NY",41.372419,-73.75367
