,zip,city,state,score
13593,30240,Lagrange,GA,0.1897670966122961
13594,30241,Lagrange,GA,0.1488527969961761
13595,30248,Locust Grove,GA,0.23781931087112387
13596,30250,Lovejoy,GA,0.0014584636404373543
13597,30251,Luthersville,GA,0.01506859452112087
13598,30252,Mcdonough,GA,0.3807572755302624
13599,30253,Mcdonough,GA,0.45854617214106463
13600,30256,Meansville,GA,0.019772517476250223
13601,30257,Milner,GA,0.032542786474577284
13602,30258,Molena,GA,0.019026250156838145
13603,30259,Moreland,GA,0.030453617476250222
13604,30260,Morrow,GA,0.15367024620302325
13606,30263,Newnan,GA,0.4247215936906255
13608,30265,Newnan,GA,0.2001990786027962
13610,30268,Palmetto,GA,0.07796299148891678
13611,30269,Peachtree City,GA,0.0742491947317322
13615,30273,Rex,GA,0.12659645906524467
13616,30274,Riverdale,GA,0.17438615362669535
13618,30276,Senoia,GA,0.10986800537730776
13619,30277,Sharpsburg,GA,0.17833722526139692
13620,30281,Stockbridge,GA,0.4955623694882595
13622,30284,Sunny Side,GA,0.0006975443627890305
13623,30285,The Rock,GA,0.004992056475174762
13624,30286,Thomaston,GA,0.1322091496489813
13626,30288,Conley,GA,0.06482601315647965
13627,30289,Turin,GA,0.0
13628,30290,Tyrone,GA,0.05051122151520584
13629,30291,Union City,GA,0.1029207227221127
13630,30292,Williamson,GA,0.04284969409840473
13631,30293,Woodbury,GA,0.015835380958355738
13632,30294,Ellenwood,GA,0.32851318138405927
13633,30295,Zebulon,GA,0.03760141739559061
13634,30296,Riverdale,GA,0.16067760471111905
13635,30297,Forest Park,GA,0.11555578890332796
13639,30303,Atlanta,GA,0.012773222871482349
13641,30305,Atlanta,GA,-0.0264333782353468
13642,30306,Atlanta,GA,0.027620562639660666
13643,30307,Atlanta,GA,0.07347978683903927
13644,30308,Atlanta,GA,0.06784655593296292
13645,30309,Atlanta,GA,0.05853872026050069
13646,30310,Atlanta,GA,0.11240919682290731
13647,30311,Atlanta,GA,0.1654935595402402
13648,30312,Atlanta,GA,0.15587982340025094
13649,30313,Atlanta,GA,0.010165722710163107
13650,30314,Atlanta,GA,0.05955004253749179
13651,30315,Atlanta,GA,0.1316736589591922
13652,30316,Atlanta,GA,0.21452985362968274
13653,30317,Atlanta,GA,0.08611409875575074
13654,30318,Atlanta,GA,0.21287649167264142
13655,30319,Atlanta,GA,0.05555593299426428
13658,30322,Atlanta,GA,0.0
13660,30324,Atlanta,GA,0.10822293545139515
13662,30326,Atlanta,GA,0.00951585127561691
13663,30327,Atlanta,GA,-0.2653235271240365
13664,30328,Atlanta,GA,0.12580681789299158
13665,30329,Atlanta,GA,0.13984934168010993
13667,30331,Atlanta,GA,0.3480386484958475
13668,30332,Atlanta,GA,0.0
13672,30336,Atlanta,GA,0.00020902641154328755
13673,30337,Atlanta,GA,0.05810657286252016
13674,30338,Atlanta,GA,0.023214652539284307
13675,30339,Atlanta,GA,0.07020940000149371
13676,30340,Atlanta,GA,0.1283674353602796
13677,30341,Atlanta,GA,0.18222688231164486
13678,30342,Atlanta,GA,0.1643384970245564
13680,30344,Atlanta,GA,0.19377579214016846
13681,30345,Atlanta,GA,0.20024901696092487
13682,30346,Atlanta,GA,-0.0036316619465853977
13685,30349,Atlanta,GA,0.4837162073923045
13686,30350,Atlanta,GA,0.27697428707653704
13689,30354,Atlanta,GA,0.07510696789896636
13695,30360,Atlanta,GA,0.13022479269582363
13698,30363,Atlanta,GA,0.018736739572504036
13727,30401,Swainsboro,GA,0.0676160014458983
13728,30410,Ailey,GA,0.01569544362789031
13729,30411,Alamo,GA,0.03233914082571548
13730,30412,Alston,GA,0.0007761266206608115
13731,30413,Bartow,GA,0.011143649965644977
13733,30415,Brooklet,GA,0.05337271014966839
13734,30417,Claxton,GA,0.07071348521240364
13735,30420,Cobbtown,GA,0.007783214379817171
13736,30421,Collins,GA,0.032511798067156594
13737,30423,Daisy,GA,0.0014804172835633624
13739,30425,Garfield,GA,0.005394538746489814
13740,30426,Girard,GA,0.0034079561883850152
13741,30427,Glennville,GA,0.06074407994264205
13742,30428,Glenwood,GA,0.01835419263906315
13743,30429,Hagan,GA,0.00017443957698512274
13744,30434,Louisville,GA,0.01773855330405688
13745,30436,Lyons,GA,0.07675544114984763
13746,30438,Manassas,GA,0.0002750546767640556
13747,30439,Metter,GA,0.048011203366792134
13748,30441,Midville,GA,0.008870719869152178
13749,30442,Millen,GA,0.03246572660423014
13751,30445,Mount Vernon,GA,0.01506678243263428
13752,30446,Newington,GA,0.0025424860189998204
13754,30448,Nunez,GA,0.0003914512009320668
13755,30449,Oliver,GA,0.0010432621422596638
13756,30450,Portal,GA,0.008510188398458504
13757,30451,Pulaski,GA,0.0
13758,30452,Register,GA,0.011247082753779052
13759,30453,Reidsville,GA,0.03955279303190535
13760,30454,Rockledge,GA,0.008014422792316426
13761,30455,Rocky Ford,GA,0.0038653212149728144
13762,30456,Sardis,GA,0.020167489748760228
