,zip,city,state,score
31283,68355,Falls City,NE,0.04081025416741352
31284,68357,Filley,NE,0.003615735794945331
31285,68358,Firth,NE,0.01623007502091175
31286,68359,Friend,NE,0.012588891004959074
31287,68360,Garland,NE,0.005408311301308478
31288,68361,Geneva,NE,0.01164604079584155
31289,68362,Gilead,NE,0.0
31290,68364,Goehner,NE,0.0009122378562466393
31291,68365,Grafton,NE,0.001148473442074446
31292,68366,Greenwood,NE,0.005795901296528648
31293,68367,Gresham,NE,0.0009857552876859654
31294,68368,Hallam,NE,0.0045327657764234934
31295,68370,Hebron,NE,0.01532447277289837
31296,68371,Henderson,NE,0.0042720519089442565
31297,68372,Hickman,NE,0.019992331174941744
31299,68375,Hubbell,NE,0.00025452590069905
31300,68376,Humboldt,NE,0.00995121517595746
31301,68377,Jansen,NE,0.0012927794706339248
31302,68378,Johnson,NE,0.004562505227938102
31303,68379,Julian,NE,0.00045981939415665895
31304,68380,Lewiston,NE,0.0006378383222799786
31305,68381,Liberty,NE,0.0007665607456533429
31306,68382,Lorton,NE,0.0
31307,68401,McCool Junction,NE,0.00361633506602139
31308,68402,Malcolm,NE,0.0046951401460835285
31309,68403,Manley,NE,0.0014939572504032977
31310,68404,Martell,NE,0.008274571787058614
31311,68405,Milford,NE,0.016153910497699705
31312,68406,Milligan,NE,0.0045193520702634885
31313,68407,Murdock,NE,0.005358340249148595
31314,68409,Murray,NE,0.004662761104140529
31315,68410,Nebraska City,NE,0.0628619245981956
31316,68413,Nehawka,NE,0.0032334618808627616
31317,68414,Nemaha,NE,0.0
31318,68415,Odell,NE,0.005764025811077255
31319,68416,Ohiowa,NE,0.0029019278484794164
31320,68417,Otoe,NE,0.0027646890123678085
31321,68418,Palmyra,NE,0.009793919651072474
31322,68419,Panama,NE,0.001509604469140228
31323,68420,Pawnee City,NE,0.006541417458325865
31324,68421,Peru,NE,0.0032261870586126535
31325,68422,Pickrell,NE,0.0023941769253749186
31326,68423,Pleasant Dale,NE,0.00414327156897891
31327,68424,Plymouth,NE,0.005558898010396129
31328,68428,Raymond,NE,0.007320607038298381
31330,68430,Roca,NE,0.013232734323654181
31331,68431,Rulo,NE,0.0016293242516580038
31332,68433,Salem,NE,0.0010601003764115432
31333,68434,Seward,NE,0.06260781916562108
31334,68436,Shickley,NE,0.002723473573519747
