"GeoFips","GeoName","LineCode","Description","2016"
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","RPPs: All items",90.8
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",77.7
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","1","RPPs: All items",96.3
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",98.3
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",93.5
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",95.9
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","RPPs: All items",103.5
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","2","  RPPs: Goods",101.2
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",100.8
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","4","  RPPs: Services: Other",107.9
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","RPPs: All items",84.6
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","2","  RPPs: Goods",91.3
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",70.7
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","RPPs: All items",88.3
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.4
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",68.7
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","1","RPPs: All items",100.0
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",117.2
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","RPPs: All items",96.7
"12540","Bakersfield, CA (Metropolitan Statistical Area)","2","  RPPs: Goods",95.4
"12540","Bakersfield, CA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",91.7
"12540","Bakersfield, CA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.0
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","RPPs: All items",107.2
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","2","  RPPs: Goods",102.8
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",116.0
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","4","  RPPs: Services: Other",105.2
